ID,down,initial,up,YY,YN,NY,NN,NNY,NNN,No,Yes,income,male,age,c_water,I_P_water,I_P_sw_water,Clean_water,Se_service,I_sw_water,Smell,F_sw_water,I_sw_water,N_sw_water,E_health,E_water,E_ecosystem,E_smell,P_sw_water,P_water
2001,22500,45000,90000,1,0,0,0,0,0,0,1,490,1,38,3,4,4,5,5,1.666666667,3,3,3,4,4,4,4,4,3,0
2002,40000,80000,160000,0,0,0,1,0,1,1,0,850,0,43,4,4,4,3,4,1.333333333,4,3,3,3,3,4,3,3,3,0
2003,6000,12000,24000,0,0,1,0,0,0,1,0,270,1,40,3,3,3,3,3,1.333333333,3,3,3,3,4,4,4,4,3,1
2004,40000,80000,160000,0,0,1,0,0,0,1,0,270,0,37,4,3,3,3,3,1,1,4,4,5,4,4,4,4,3,0
2005,3500,7000,14000,1,0,0,0,0,0,0,1,800,1,33,4,4,4,4,3,1.166666667,3,2,4,5,4,4,5,4,2,0
2006,6000,12000,24000,0,0,0,1,0,1,1,0,430,1,44,4,4,3,5,4,1.333333333,4,4,4,4,4,4,5,4,2,0
2007,22500,45000,90000,0,0,0,1,0,1,1,0,100,0,44,3,4,4,4,4,1.666666667,3,3,3,4,4,4,4,4,3,0
2008,12500,25000,50000,0,0,0,1,0,1,1,0,400,1,36,4,4,3,4,4,1.166666667,3,3,3,4,4,4,4,4,3,0
2009,3500,7000,14000,0,0,1,0,0,0,1,0,290,1,39,3,4,4,5,5,1.166666667,3,3,2,5,3,3,4,3,3,0
2010,6000,12000,24000,0,0,0,1,0,1,1,0,650,1,45,5,4,4,4,3,1.333333333,4,3,4,3,4,3,4,5,4,0
2011,40000,80000,160000,0,0,1,0,0,0,1,0,450,0,39,4,3,3,4,4,2,3,4,4,4,4,4,4,4,3,1
2012,6000,12000,24000,1,0,0,0,0,0,0,1,570,1,39,5,5,4,4,5,1.166666667,4,3,5,4,4,5,4,5,4,0
2013,22500,45000,90000,0,0,0,1,0,1,1,0,350,1,33,4,5,4,4,4,1.666666667,4,3,3,4,4,5,5,5,3,0
2014,3500,7000,14000,0,0,0,1,0,1,1,0,290,0,29,4,4,3,3,4,2,3,4,2,4,3,3,3,4,3,0
2015,3500,7000,14000,0,1,0,0,0,0,0,1,1000,1,51,5,5,5,5,4,1.166666667,3,4,5,5,5,5,5,4,4,1
2016,40000,80000,160000,0,0,0,1,0,1,1,0,290,1,35,5,5,4,5,5,2,3,3,4,4,4,4,4,4,3,0
2017,12500,25000,50000,0,0,1,0,0,0,1,0,660,1,50,5,3,3,4,4,1,3,4,4,5,4,5,4,4,4,0
2018,12500,25000,50000,0,0,0,1,0,1,1,0,420,1,40,5,5,5,5,5,1,2,4,5,5,5,5,5,5,3,0
2019,40000,80000,160000,0,0,0,1,0,1,1,0,810,0,32,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,0
2020,40000,80000,160000,0,0,1,0,0,0,1,0,270,1,34,4,4,4,5,5,1.833333333,1,5,3,5,4,5,5,4,3,1
2021,6000,12000,24000,1,0,0,0,0,0,0,1,210,1,31,3,4,3,4,4,2,4,3,3,4,4,4,4,4,3,0
2022,12500,25000,50000,1,0,0,0,0,0,0,1,190,0,29,4,5,4,5,5,1.5,4,2,3,5,1,2,2,2,4,0
2023,22500,45000,90000,1,0,0,0,0,0,0,1,600,0,43,4,4,4,4,4,1,4,4,4,4,3,4,4,4,4,1
2024,40000,80000,160000,0,0,1,0,0,0,1,0,270,1,36,3,4,4,5,5,1.333333333,4,3,3,5,5,5,5,5,3,0
